,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
85,Avaí,0–3,Fluminense,"5,239",Marielson Alves Silva,0,3,"https://fbref.com/en/matches/10893db9/Avai-Fluminense-June-21-2017-Serie-A"">Match Report",49%,51%,77%,80%,38%,31%,40%,100%,19,5,21,614,17,20,16,16,1,10,20,55,19,4,19,656,18,25,10,30,0,6,11,69
86,Corinthians,3–0,Bahia,"34,250",Dewson Fernando Freitas da Silva,3,0,"https://fbref.com/en/matches/c41b6dc4/Corinthians-Bahia-June-22-2017-Serie-A"">Match Report",49%,51%,86%,89%,33%,6%,100%,40%,15,5,12,614,21,9,19,28,2,15,18,39,12,9,25,644,13,9,17,16,2,6,19,35
87,Ponte Preta,1–0,Cruzeiro,"4,707",Grazianni Maciel Rocha,1,0,"https://fbref.com/en/matches/c410f71e/Ponte-Preta-Cruzeiro-June-22-2017-Serie-A"">Match Report",51%,49%,77%,79%,17%,25%,100%,0%,21,5,21,608,20,15,11,15,0,8,34,65,23,1,17,594,17,9,17,25,3,6,26,47
88,Grêmio,2–0,Coritiba,"19,035",Pericles Bassols Pegado Cortez,2,0,"https://fbref.com/en/matches/c7185f8c/Gremio-Coritiba-June-22-2017-Serie-A"">Match Report",52%,48%,82%,79%,71%,55%,100%,83%,18,6,14,656,24,17,11,19,4,13,19,65,11,3,19,618,25,12,13,22,0,7,24,44
89,Flamengo,5–1,Chapecoense,"14,632",Leandro Bizzio Marinho,5,1,"https://fbref.com/en/matches/37304b15/Flamengo-Chapecoense-June-22-2017-Serie-A"">Match Report",52%,48%,80%,77%,55%,17%,50%,54%,21,6,18,547,23,15,15,24,3,11,16,62,13,7,22,527,9,21,10,16,1,5,22,47
90,Santos,0–1,Sport Recife,"7,272",Rafael Traci,0,1,"https://fbref.com/en/matches/f10ade88/Santos-Sport-Recife-June-24-2017-Serie-A"">Match Report",57%,43%,81%,78%,33%,33%,66%,100%,13,9,28,708,15,17,7,10,0,10,24,51,17,0,12,612,16,27,9,27,1,11,22,57
91,Vasco da Gama,1–0,Atl Goianiense,"20,658",Dyorgines José Padovani Andrade,1,0,"https://fbref.com/en/matches/3cc2cc99/Vasco-da-Gama-Atletico-Goianiense-June-25-2017-Serie-A"">Match Report",52%,48%,80%,74%,42%,50%,100%,80%,21,3,15,634,20,19,21,18,0,2,25,63,19,1,19,581,15,7,21,9,1,10,34,53
92,Atl Paranaense,4–1,Vitória,"15,770",Rodrigo Batista Raposo,4,1,"https://fbref.com/en/matches/ced40df9/Atletico-Paranaense-Vitoria-June-25-2017-Serie-A"">Match Report",48%,52%,81%,84%,73%,25%,66%,63%,10,5,23,643,13,17,20,13,3,11,30,59,11,1,11,681,5,15,15,16,2,5,22,63
93,Cruzeiro,2–0,Coritiba,"11,778",Marcelo Aparecido Ribeiro De Souza,2,0,"https://fbref.com/en/matches/2517e4d8/Cruzeiro-Coritiba-June-25-2017-Serie-A"">Match Report",55%,46%,76%,70%,41%,22%,100%,77%,15,8,19,620,25,9,24,30,2,7,16,56,26,9,17,556,20,16,19,33,2,10,26,63
94,Grêmio,0–1,Corinthians,"50,116",Wilton Sampaio,0,1,"https://fbref.com/en/matches/8069f27a/Gremio-Corinthians-June-25-2017-Serie-A"">Match Report",57%,43%,86%,80%,43%,60%,66%,100%,16,7,28,736,17,15,13,3,2,2,15,57,16,2,5,606,14,8,12,22,0,13,17,56
95,Ponte Preta,1–2,Palmeiras,"6,051",Wagner Reway,1,2,"https://fbref.com/en/matches/449f465a/Ponte-Preta-Palmeiras-June-25-2017-Serie-A"">Match Report",55%,45%,76%,69%,13%,33%,0%,0%,21,2,26,661,18,14,16,12,3,10,30,71,28,4,11,571,26,14,15,26,0,6,25,72
96,São Paulo,1–1,Fluminense,"17,742",Anderson Daronco,1,1,"https://fbref.com/en/matches/2f57fba4/Sao-Paulo-Fluminense-June-25-2017-Serie-A"">Match Report",52%,48%,78%,77%,20%,78%,71%,66%,12,6,24,549,9,25,12,9,0,8,18,57,25,3,16,512,18,9,17,27,4,15,19,58
97,Bahia,0–1,Flamengo,"21,929",Igor Junior Benevenuto,0,1,"https://fbref.com/en/matches/8f63aabf/Bahia-Flamengo-June-25-2017-Serie-A"">Match Report",43%,57%,78%,85%,21%,36%,75%,100%,6,5,18,580,18,14,14,18,1,8,19,58,23,3,19,691,17,13,13,13,0,8,26,32
98,Chapecoense,0–1,Atlético Mineiro,"9,013",Joao Batista de Arruda,0,1,"https://fbref.com/en/matches/2a24fd48/Chapecoense-Atletico-Mineiro-June-25-2017-Serie-A"">Match Report",67%,33%,75%,55%,7%,60%,66%,100%,24,8,54,684,11,9,33,5,2,1,43,72,19,0,4,450,15,18,22,44,7,14,16,78
99,Botafogo (RJ),0–2,Avaí,"22,819",Caio Max Augusto Vieira,0,2,"https://fbref.com/en/matches/5e1d2f7c/Botafogo-RJ-Avai-June-26-2017-Serie-A"">Match Report",73%,27%,87%,65%,30%,25%,0%,88%,11,17,60,839,12,20,28,13,1,2,32,45,10,2,8,455,18,22,18,43,0,18,19,63
100,Palmeiras,1–0,Grêmio,"31,395",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/cc8a87f0/Palmeiras-Gremio-July-1-2017-Serie-A"">Match Report",60%,40%,83%,73%,8%,40%,100%,100%,23,4,30,699,22,12,22,20,2,3,37,51,14,0,8,537,20,9,12,34,1,15,26,55
101,Atl Goianiense,1–1,Santos,"5,898",Claudio Francisco Lima e Silva,1,1,"https://fbref.com/en/matches/925b41b4/Atletico-Goianiense-Santos-July-1-2017-Serie-A"">Match Report",33%,67%,71%,89%,25%,15%,50%,75%,14,3,25,461,17,11,10,33,0,12,24,59,10,11,45,757,13,10,7,21,4,7,24,40
102,Atlético Mineiro,3–1,Cruzeiro,"17,251",Anderson Daronco,3,1,"https://fbref.com/en/matches/4db2a358/Atletico-Mineiro-Cruzeiro-July-2-2017-Serie-A"">Match Report",47%,53%,69%,71%,36%,44%,75%,25%,23,4,16,550,11,26,19,13,3,9,31,67,18,3,20,592,24,20,11,18,1,8,27,60
103,Sport Recife,1–0,Atl Paranaense,"11,031",Grazianni Maciel Rocha,1,0,"https://fbref.com/en/matches/7d700b12/Sport-Recife-Atletico-Paranaense-July-2-2017-Serie-A"">Match Report",58%,42%,84%,79%,16%,50%,100%,66%,12,11,38,668,14,22,15,14,0,3,24,47,18,4,13,541,15,7,13,38,2,14,24,50
104,Flamengo,2–0,São Paulo,"17,302",Leandro Pedro Vuaden,2,0,"https://fbref.com/en/matches/9485833a/Flamengo-Sao-Paulo-July-2-2017-Serie-A"">Match Report",48%,52%,81%,85%,50%,25%,66%,71%,17,10,22,614,19,15,13,20,5,10,22,57,14,0,13,655,17,17,7,16,0,7,17,43
