,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
220,Atlético Mineiro,1–1,Palmeiras,"25,672",Leandro Pedro Vuaden,1,1,"https://fbref.com/en/matches/a7a68e49/Atletico-Mineiro-Palmeiras-September-9-2017-Serie-A"">Match Report",61%,39%,86%,79%,29%,56%,80%,83%,14,9,32,651,6,6,10,23,4,5,26,38,18,4,13,474,10,13,15,40,3,14,15,56
221,Vasco da Gama,1–0,Grêmio,,Heber Roberto Lopes,1,0,"https://fbref.com/en/matches/b7699177/Vasco-da-Gama-Gremio-September-9-2017-Serie-A"">Match Report",36%,64%,80%,88%,25%,20%,100%,50%,18,0,6,521,14,13,10,26,0,12,13,61,11,8,32,794,11,12,13,3,3,8,23,53
222,São Paulo,2–2,Ponte Preta,"42,724",Marcelo de Lima Henrique,2,2,"https://fbref.com/en/matches/5e544e96/Sao-Paulo-Ponte-Preta-September-9-2017-Serie-A"">Match Report",46%,54%,79%,84%,33%,46%,66%,33%,12,3,14,568,17,10,18,32,1,9,17,50,9,7,30,643,11,11,19,21,1,11,27,66
223,Atl Paranaense,1–1,Coritiba,"17,420",Anderson Daronco,1,1,"https://fbref.com/en/matches/e31d56a1/Atletico-Paranaense-Coritiba-September-10-2017-Serie-A"">Match Report",64%,36%,83%,76%,35%,20%,0%,83%,16,6,22,658,14,6,23,10,1,6,29,58,15,2,13,441,9,15,16,36,2,15,23,62
224,Santos,2–0,Corinthians,"12,567",Raphael Claus,2,0,"https://fbref.com/en/matches/9a73d542/Santos-Corinthians-September-10-2017-Serie-A"">Match Report",44%,56%,82%,85%,64%,29%,100%,77%,9,5,24,572,10,20,16,35,3,10,15,51,17,5,28,630,11,13,7,18,3,8,18,39
225,Sport Recife,0–1,Avaí,"8,608",Wagner do Nascimento Magalhaes,0,1,"https://fbref.com/en/matches/014bdbf8/Sport-Recife-Avai-September-10-2017-Serie-A"">Match Report",74%,26%,87%,66%,14%,40%,50%,100%,11,7,41,697,15,11,10,10,2,5,20,26,12,3,5,363,19,15,12,36,2,9,13,51
226,Vitória,2–2,Fluminense,"12,444",Wagner Reway,2,2,"https://fbref.com/en/matches/1ee1e01c/Vitoria-Fluminense-September-10-2017-Serie-A"">Match Report",55%,45%,80%,77%,26%,50%,50%,40%,9,6,39,596,14,7,11,17,2,3,22,48,11,3,10,543,8,13,19,35,2,16,21,65
227,Chapecoense,1–2,Cruzeiro,"9,676",Leandro Bizzio Marinho,1,2,"https://fbref.com/en/matches/81c05efb/Chapecoense-Cruzeiro-September-10-2017-Serie-A"">Match Report",55%,45%,83%,81%,40%,54%,71%,83%,15,9,36,635,22,9,23,18,3,5,23,59,17,3,11,554,14,7,12,30,3,6,20,49
228,Botafogo (RJ),2–0,Flamengo,"6,311",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/bc9c3cb9/Botafogo-RJ-Flamengo-September-10-2017-Serie-A"">Match Report",43%,57%,74%,86%,31%,13%,100%,60%,10,5,17,542,24,12,17,40,1,9,15,50,16,15,36,665,9,17,17,22,2,8,32,45
229,Atl Goianiense,1–1,Bahia,"3,818",Thiago Duarte Peixoto,1,1,"https://fbref.com/en/matches/64c0aa0e/Atletico-Goianiense-Bahia-September-11-2017-Serie-A"">Match Report",43%,57%,77%,83%,30%,36%,75%,66%,16,5,22,541,20,12,15,24,4,14,19,59,11,8,25,684,17,15,14,18,3,3,29,70
230,Botafogo (RJ),2–0,Santos,"5,780",Igor Junior Benevenuto,2,0,"https://fbref.com/en/matches/20f13f55/Botafogo-RJ-Santos-September-16-2017-Serie-A"">Match Report",50%,50%,78%,80%,53%,0%,%,75%,14,4,24,594,14,13,11,16,0,14,10,68,12,10,24,620,6,17,15,15,1,8,28,52
231,Ponte Preta,1–3,Atl Goianiense,"5,264",Braulio da Silva Machado,1,3,"https://fbref.com/en/matches/779aef34/Ponte-Preta-Atletico-Goianiense-September-16-2017-Serie-A"">Match Report",55%,45%,83%,83%,29%,53%,62%,75%,22,6,35,641,8,13,14,16,1,6,18,50,20,3,18,594,12,9,17,41,2,9,15,54
232,Avaí,1–1,Atlético Mineiro,"9,201",André Luiz de Freitas Castro,1,1,"https://fbref.com/en/matches/19be5af9/Avai-Atletico-Mineiro-September-17-2017-Serie-A"">Match Report",33%,67%,74%,85%,30%,24%,75%,33%,17,4,19,487,16,29,15,16,1,10,21,47,16,5,14,802,19,14,15,26,0,6,19,42
233,Flamengo,2–0,Sport Recife,"9,029",Vinicius Gonçalves Dias Araujo,2,0,"https://fbref.com/en/matches/606311b5/Flamengo-Sport-Recife-September-17-2017-Serie-A"">Match Report",57%,43%,84%,77%,29%,33%,100%,50%,13,2,20,725,28,21,15,15,2,10,23,73,18,5,14,579,12,15,12,26,2,13,23,53
234,Atl Paranaense,3–1,Fluminense,"11,329",Raphael Claus,3,1,"https://fbref.com/en/matches/a2b8d9ad/Atletico-Paranaense-Fluminense-September-17-2017-Serie-A"">Match Report",53%,47%,84%,83%,50%,20%,50%,62%,15,5,20,630,10,11,8,9,7,9,21,59,13,3,10,580,13,10,17,32,4,8,15,66
235,Corinthians,1–0,Vasco da Gama,"41,235",Elmo Alves Resende Cunha,1,0,"https://fbref.com/en/matches/373d39c3/Corinthians-Vasco-da-Gama-September-17-2017-Serie-A"">Match Report",57%,43%,87%,82%,24%,31%,100%,75%,15,7,24,735,8,9,8,24,3,8,26,46,9,6,14,602,18,21,4,25,0,15,14,56
236,Grêmio,0–1,Chapecoense,"14,618",Marcelo de Lima Henrique,0,1,"https://fbref.com/en/matches/41651093/Gremio-Chapecoense-September-17-2017-Serie-A"">Match Report",77%,23%,89%,63%,24%,63%,80%,100%,6,9,26,892,6,10,7,12,8,8,30,47,19,6,16,361,15,13,4,37,0,10,12,56
237,Vitória,1–2,São Paulo,"12,805",Rodolpho Toski Marques,1,2,"https://fbref.com/en/matches/7fb27cbf/Vitoria-Sao-Paulo-September-17-2017-Serie-A"">Match Report",43%,57%,80%,83%,36%,38%,83%,80%,21,3,26,505,12,15,17,19,3,7,18,61,16,8,17,642,14,12,32,35,1,7,13,49
238,Cruzeiro,1–0,Bahia,"11,754",Wagner Reway,1,0,"https://fbref.com/en/matches/2e1d9bc5/Cruzeiro-Bahia-September-17-2017-Serie-A"">Match Report",51%,49%,80%,81%,50%,36%,100%,80%,12,12,32,553,18,5,21,18,0,8,19,45,19,10,24,564,12,14,15,16,0,6,27,59
239,Palmeiras,1–0,Coritiba,"26,440",Dewson Fernando Freitas da Silva,1,0,"https://fbref.com/en/matches/cdc5c198/Palmeiras-Coritiba-September-18-2017-Serie-A"">Match Report",49%,51%,78%,81%,47%,40%,100%,100%,18,10,29,575,11,10,23,31,1,2,34,45,17,6,20,592,16,12,25,47,3,8,21,53
240,Flamengo,1–1,Avaí,"9,584",Claudio Francisco Lima e Silva,1,1,"https://fbref.com/en/matches/6f197ae0/Flamengo-Avai-September-23-2017-Serie-A"">Match Report",69%,31%,86%,68%,27%,45%,80%,87%,14,11,37,750,17,11,19,11,0,7,33,27,16,8,17,433,17,22,20,36,0,16,16,53
241,Santos,1–0,Atl Paranaense,"4,257",Ricardo Marques Ribeiro,1,0,"https://fbref.com/en/matches/6ca5b5e5/Santos-Atletico-Paranaense-September-23-2017-Serie-A"">Match Report",45%,55%,86%,86%,29%,29%,80%,83%,7,4,19,678,12,18,9,28,1,8,26,54,14,6,20,764,8,19,11,21,1,10,26,45
242,São Paulo,1–1,Corinthians,"61,142",Wagner do Nascimento Magalhaes,1,1,"https://fbref.com/en/matches/41739d95/Classico-Majestoso-Sao-Paulo-Corinthians-September-24-2017-Serie-A"">Match Report",49%,52%,86%,87%,50%,18%,50%,83%,13,7,20,658,18,12,16,16,3,8,17,43,12,4,16,677,19,11,4,25,2,4,16,42
243,Fluminense,0–1,Palmeiras,"13,145",Anderson Daronco,0,1,"https://fbref.com/en/matches/989e6068/Fluminense-Palmeiras-September-24-2017-Serie-A"">Match Report",51%,49%,82%,79%,25%,27%,75%,100%,26,9,20,596,14,18,18,27,2,5,16,48,9,5,13,591,21,24,27,24,1,6,21,57
244,Atl Goianiense,1–2,Cruzeiro,"10,865",Heber Roberto Lopes,1,2,"https://fbref.com/en/matches/ca515cec/Atletico-Goianiense-Cruzeiro-September-24-2017-Serie-A"">Match Report",54%,46%,85%,80%,20%,15%,0%,75%,16,4,29,650,14,12,18,23,2,9,15,38,18,6,14,596,15,16,19,27,0,10,31,62
245,Chapecoense,1–0,Ponte Preta,"9,980",Jean Pierre Goncalves Lima,1,0,"https://fbref.com/en/matches/64667ebd/Chapecoense-Ponte-Preta-September-24-2017-Serie-A"">Match Report",43%,57%,72%,80%,33%,20%,100%,75%,16,6,18,532,15,12,21,17,0,7,22,59,19,3,19,661,20,21,23,18,0,9,31,66
246,Coritiba,2–3,Botafogo (RJ),"8,315",Braulio da Silva Machado,2,3,"https://fbref.com/en/matches/68a7e0ee/Coritiba-Botafogo-RJ-September-24-2017-Serie-A"">Match Report",51%,49%,73%,69%,27%,60%,50%,50%,20,7,35,519,14,8,22,10,2,6,30,75,20,3,20,488,20,14,19,17,1,9,20,72
247,Bahia,1–0,Grêmio,"12,789",Luiz Flavio De Oliveira,1,0,"https://fbref.com/en/matches/eb641eca/Bahia-Gremio-September-24-2017-Serie-A"">Match Report",42%,58%,76%,83%,40%,29%,100%,83%,18,3,16,547,16,20,21,21,1,7,20,57,17,4,18,683,15,19,11,20,1,6,15,47
248,Atlético Mineiro,1–3,Vitória,"10,865",Wilton Sampaio,1,3,"https://fbref.com/en/matches/43aa337d/Atletico-Mineiro-Vitoria-September-24-2017-Serie-A"">Match Report",67%,33%,82%,73%,44%,43%,0%,75%,10,5,24,765,23,12,12,12,1,6,28,52,21,4,9,483,19,18,24,46,4,10,19,69
249,Sport Recife,1–1,Vasco da Gama,"15,701",Sandro Ricci,1,1,"https://fbref.com/en/matches/045d732b/Sport-Recife-Vasco-da-Gama-September-25-2017-Serie-A"">Match Report",49%,51%,82%,83%,23%,15%,50%,66%,13,10,31,537,13,18,17,6,3,10,16,63,16,3,13,575,19,14,19,31,1,17,17,46
250,Bahia,1–1,Coritiba,"20,860",Pericles Bassols Pegado Cortez,1,1,"https://fbref.com/en/matches/2b396204/Bahia-Coritiba-September-30-2017-Serie-A"">Match Report",54%,46%,77%,74%,36%,17%,50%,75%,13,5,19,634,12,12,23,27,1,12,22,49,18,3,21,562,19,14,19,14,3,11,27,80
251,Vasco da Gama,1–1,Chapecoense,,Wilton Sampaio,1,1,"https://fbref.com/en/matches/d6f0829d/Vasco-da-Gama-Chapecoense-September-30-2017-Serie-A"">Match Report",66%,34%,88%,74%,36%,38%,80%,75%,15,3,28,761,10,12,27,26,1,8,21,54,22,4,19,455,6,7,15,16,2,13,17,61
252,Palmeiras,0–1,Santos,"37,527",Marcelo Aparecido Ribeiro De Souza,0,1,"https://fbref.com/en/matches/78595811/Palmeiras-Santos-September-30-2017-Serie-A"">Match Report",62%,38%,69%,60%,6%,50%,75%,100%,18,10,37,603,22,10,17,22,2,5,30,53,22,1,8,488,19,15,38,78,3,16,22,66
253,Botafogo (RJ),2–3,Vitória,"14,780",Eduardo Tomaz De Aquino Valadão,2,3,"https://fbref.com/en/matches/5c0a8e69/Botafogo-RJ-Vitoria-October-1-2017-Serie-A"">Match Report",54%,46%,77%,73%,45%,36%,40%,60%,11,1,16,586,15,12,26,19,3,6,21,68,21,4,13,535,11,12,26,19,1,10,25,71
254,Grêmio,1–0,Fluminense,"15,727",Rafael Traci,1,0,"https://fbref.com/en/matches/dcf409ed/Gremio-Fluminense-October-1-2017-Serie-A"">Match Report",62%,38%,90%,81%,48%,22%,100%,90%,12,6,19,761,6,18,12,16,5,7,22,48,18,2,10,509,12,15,11,24,1,10,14,56
255,Cruzeiro,1–1,Corinthians,"15,727",Rodolpho Toski Marques,1,1,"https://fbref.com/en/matches/4b97ea4d/Cruzeiro-Corinthians-October-1-2017-Serie-A"">Match Report",42%,58%,84%,87%,30%,44%,75%,66%,15,5,12,594,18,7,14,37,2,6,16,46,14,5,21,751,15,17,21,12,3,6,31,46
256,Avaí,0–2,Atl Goianiense,"7,872",Raphael Claus,0,2,"https://fbref.com/en/matches/8931ca31/Avai-Atletico-Goianiense-October-1-2017-Serie-A"">Match Report",52%,48%,84%,84%,13%,40%,50%,100%,14,7,43,635,18,13,8,23,2,5,25,34,24,3,13,623,11,21,13,38,0,8,25,49
257,São Paulo,1–0,Sport Recife,"43,071",Anderson Daronco,1,0,"https://fbref.com/en/matches/6b82296a/Sao-Paulo-Sport-Recife-October-1-2017-Serie-A"">Match Report",47%,53%,80%,83%,100%,33%,100%,85%,12,5,12,650,22,13,19,30,0,11,25,54,15,8,32,685,18,11,13,11,0,5,21,56
258,Atl Paranaense,0–2,Atlético Mineiro,"11,418",Wagner Reway,0,2,"https://fbref.com/en/matches/8b6dc9fe/Atletico-Paranaense-Atletico-Mineiro-October-1-2017-Serie-A"">Match Report",63%,37%,87%,77%,33%,50%,33%,66%,17,13,38,752,12,13,20,15,1,5,28,68,16,6,18,525,10,22,22,37,1,13,18,61
259,Ponte Preta,1–0,Flamengo,"11,133",Igor Junior Benevenuto,1,0,"https://fbref.com/en/matches/9276bcfb/Ponte-Preta-Flamengo-October-2-2017-Serie-A"">Match Report",31%,69%,66%,85%,50%,8%,100%,66%,23,2,11,409,15,10,29,38,0,12,16,49,17,4,23,713,10,9,13,14,2,7,27,47
260,Cruzeiro,2–1,Ponte Preta,"15,397",Paulo Roberto Alves Júnior,2,1,"https://fbref.com/en/matches/fc856771/Cruzeiro-Ponte-Preta-October-7-2017-Serie-A"">Match Report",68%,32%,87%,71%,35%,67%,75%,33%,8,9,37,810,14,11,16,3,3,7,34,56,12,3,7,476,18,30,19,36,1,6,19,56
261,Botafogo (RJ),2–1,Chapecoense,"7,613",Leandro Pedro Vuaden,2,1,"https://fbref.com/en/matches/7f70bd17/Botafogo-RJ-Chapecoense-October-11-2017-Serie-A"">Match Report",64%,36%,86%,73%,17%,40%,50%,0%,12,4,27,763,15,19,18,15,6,7,18,56,20,3,10,504,11,9,19,34,1,11,20,55
262,Atl Paranaense,2–2,Atl Goianiense,"5,864",Dyorgines José Padovani Andrade,2,2,"https://fbref.com/en/matches/08c12c35/Atletico-Paranaense-Atletico-Goianiense-October-11-2017-Serie-A"">Match Report",62%,39%,87%,78%,38%,33%,33%,66%,15,5,25,789,10,16,13,17,2,5,28,80,17,4,20,536,15,16,15,16,1,7,23,48
263,Corinthians,3–1,Coritiba,"36,439",Claudio Francisco Lima e Silva,3,1,"https://fbref.com/en/matches/db2dbc1a/Corinthians-Coritiba-October-11-2017-Serie-A"">Match Report",57%,43%,86%,83%,31%,36%,75%,40%,8,10,20,714,13,10,26,32,1,11,14,39,16,6,23,561,16,13,18,26,4,12,12,42
264,Avaí,1–2,Vasco da Gama,"8,952",Wagner Reway,1,2,"https://fbref.com/en/matches/f18a3339/Avai-Vasco-da-Gama-October-11-2017-Serie-A"">Match Report",61%,39%,86%,79%,26%,50%,66%,80%,23,9,30,702,13,14,18,12,4,4,24,35,28,2,10,519,11,14,12,39,0,14,22,61
265,Grêmio,0–1,Cruzeiro,"7,851",Rodrigo Batista Raposo,0,1,"https://fbref.com/en/matches/1b321537/Gremio-Cruzeiro-October-11-2017-Serie-A"">Match Report",56%,44%,86%,83%,25%,31%,75%,100%,15,7,20,758,14,8,14,17,2,5,24,41,13,2,6,645,18,19,20,28,1,5,15,57
266,Atlético Mineiro,1–0,São Paulo,"17,606",Heber Roberto Lopes,1,0,"https://fbref.com/en/matches/5a17d765/Atletico-Mineiro-Sao-Paulo-October-11-2017-Serie-A"">Match Report",47%,53%,84%,86%,28%,22%,100%,100%,16,9,26,584,24,13,21,23,1,4,17,49,12,10,25,649,14,7,16,37,0,12,20,42
267,Ponte Preta,1–1,Santos,"13,892",Raphael Claus,1,1,"https://fbref.com/en/matches/e2098779/Ponte-Preta-Santos-October-12-2017-Serie-A"">Match Report",41%,59%,80%,85%,13%,38%,80%,0%,20,4,24,487,16,11,16,40,1,4,10,42,11,10,29,651,14,6,31,30,2,7,18,43
268,Vitória,1–2,Sport Recife,"15,638",Marcelo Aparecido Ribeiro De Souza,1,2,"https://fbref.com/en/matches/01e63f81/Vitoria-Sport-Recife-October-12-2017-Serie-A"">Match Report",56%,44%,77%,64%,27%,40%,50%,66%,18,7,22,634,14,17,23,25,1,7,31,60,13,4,13,511,11,10,14,16,4,8,26,89
269,Flamengo,1–1,Fluminense,"38,629",Luiz Flavio De Oliveira,1,1,"https://fbref.com/en/matches/4ca45036/Flamengo-Fluminense-October-12-2017-Serie-A"">Match Report",60%,40%,77%,71%,38%,29%,100%,80%,17,10,33,612,13,5,34,24,2,5,23,44,16,4,18,483,15,13,25,46,1,14,18,61
270,Palmeiras,2–2,Bahia,"25,234",Rafael Traci,2,2,"https://fbref.com/en/matches/2765392e/Palmeiras-Bahia-October-12-2017-Serie-A"">Match Report",45%,55%,71%,76%,33%,59%,80%,50%,23,2,20,556,15,21,21,29,0,11,36,59,24,7,18,609,14,20,13,23,0,6,19,62
271,Vasco da Gama,1–0,Botafogo (RJ),"31,406",Vinicius Gonçalves Dias Araujo,1,0,"https://fbref.com/en/matches/d2615fbc/Vasco-da-Gama-Botafogo-RJ-October-14-2017-Serie-A"">Match Report",40%,61%,75%,85%,18%,14%,100%,50%,16,7,17,489,11,14,13,24,0,15,23,48,13,1,25,673,10,15,25,17,1,6,24,51
272,São Paulo,2–1,Atl Paranaense,"26,833",Marcelo de Lima Henrique,2,1,"https://fbref.com/en/matches/e3802ddf/Sao-Paulo-Atletico-Paranaense-October-14-2017-Serie-A"">Match Report",56%,44%,89%,84%,35%,29%,50%,75%,6,6,30,754,11,12,13,11,0,6,21,46,12,0,10,620,5,12,9,30,1,12,20,74
273,Sport Recife,1–1,Atlético Mineiro,"20,273",Leandro Bizzio Marinho,1,1,"https://fbref.com/en/matches/9bfa67fd/Sport-Recife-Atletico-Mineiro-October-15-2017-Serie-A"">Match Report",48%,53%,76%,80%,35%,15%,50%,71%,19,6,30,545,12,19,17,7,0,11,19,55,14,3,11,631,11,23,19,25,2,10,23,63
274,Chapecoense,0–1,Flamengo,"10,484",Dewson Fernando Freitas da Silva,0,1,"https://fbref.com/en/matches/b14bbd02/Chapecoense-Flamengo-October-15-2017-Serie-A"">Match Report",44%,56%,76%,84%,29%,33%,80%,100%,23,7,23,465,7,5,21,22,1,7,20,48,17,2,10,580,19,7,15,31,5,11,12,63
275,Fluminense,1–0,Avaí,"18,006",Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/e86d02a9/Fluminense-Avai-October-15-2017-Serie-A"">Match Report",51%,50%,85%,83%,21%,33%,100%,100%,18,6,17,651,12,12,23,28,1,3,11,67,12,6,19,655,15,20,11,19,2,14,22,45
276,Atl Goianiense,1–3,Palmeiras,"12,619",Rodolpho Toski Marques,1,3,"https://fbref.com/en/matches/4f5c357e/Atletico-Goianiense-Palmeiras-October-15-2017-Serie-A"">Match Report",42%,58%,86%,89%,29%,60%,66%,75%,18,2,18,604,10,12,7,13,2,6,19,45,13,3,13,767,14,17,7,18,1,10,12,44
277,Bahia,2–0,Corinthians,"23,413",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/a46b09d5/Bahia-Corinthians-October-15-2017-Serie-A"">Match Report",47%,53%,80%,85%,43%,38%,100%,33%,11,7,25,637,11,22,18,17,2,5,20,58,16,4,18,681,19,9,13,33,2,7,17,47
278,Coritiba,0–1,Grêmio,"10,814",André Luiz de Freitas Castro,0,1,"https://fbref.com/en/matches/8ed859b4/Coritiba-Gremio-October-15-2017-Serie-A"">Match Report",55%,45%,80%,73%,33%,17%,0%,100%,14,2,16,635,17,16,26,23,1,5,24,61,16,11,24,542,13,17,12,23,4,13,16,68
279,Santos,2–2,Vitória,"19,007",Braulio da Silva Machado,2,2,"https://fbref.com/en/matches/246d23f9/Santos-Vitoria-October-16-2017-Serie-A"">Match Report",54%,46%,82%,80%,38%,29%,66%,80%,12,5,21,670,14,19,18,36,0,9,21,49,15,12,29,612,13,29,14,25,0,11,21,53
280,Atl Goianiense,0–1,Vasco da Gama,"9,046",Claudio Francisco Lima e Silva,0,1,"https://fbref.com/en/matches/e0ce1e87/Atletico-Goianiense-Vasco-da-Gama-October-18-2017-Serie-A"">Match Report",47%,53%,86%,87%,50%,40%,100%,80%,23,7,24,588,11,10,9,14,0,6,18,50,10,5,14,665,16,11,14,25,1,4,17,56
281,Coritiba,1–0,Cruzeiro,"6,470",Marcelo de Lima Henrique,1,0,"https://fbref.com/en/matches/5deb4fb6/Coritiba-Cruzeiro-October-18-2017-Serie-A"">Match Report",36%,64%,82%,87%,18%,15%,100%,100%,7,7,19,548,19,17,6,27,2,9,25,59,9,7,23,804,16,12,21,15,0,15,19,49
282,Atlético Mineiro,2–3,Chapecoense,"11,927",Vinicius Gonçalves Dias Araujo,2,3,"https://fbref.com/en/matches/fdb1c9ba/Atletico-Mineiro-Chapecoense-October-18-2017-Serie-A"">Match Report",51%,49%,79%,82%,50%,41%,57%,0%,16,6,19,607,18,8,21,10,4,10,25,68,15,4,17,610,25,18,12,30,2,8,16,73
283,Corinthians,0–0,Grêmio,"40,008",Heber Roberto Lopes,0,0,"https://fbref.com/en/matches/a64c10b4/Corinthians-Gremio-October-18-2017-Serie-A"">Match Report",55%,45%,86%,80%,0%,30%,100%,%,13,2,14,739,14,21,24,29,1,4,16,49,14,4,15,631,21,19,17,20,1,9,29,61
284,Avaí,1–1,Botafogo (RJ),"5,156",Rafael Traci,1,1,"https://fbref.com/en/matches/c665d380/Avai-Botafogo-RJ-October-18-2017-Serie-A"">Match Report",41%,60%,78%,82%,31%,20%,50%,80%,20,8,28,541,17,21,25,19,1,9,24,57,22,4,19,711,17,13,16,24,0,13,21,55
285,Fluminense,3–1,São Paulo,"22,999",Leandro Pedro Vuaden,3,1,"https://fbref.com/en/matches/a834a63c/Fluminense-Sao-Paulo-October-18-2017-Serie-A"">Match Report",37%,63%,77%,87%,50%,30%,66%,50%,23,4,12,523,22,22,11,23,2,7,18,57,12,1,14,804,21,17,12,13,3,6,24,25
286,Vitória,2–3,Atl Paranaense,"7,741",André Luiz de Freitas Castro,2,3,"https://fbref.com/en/matches/701ad6e8/Vitoria-Atletico-Paranaense-October-19-2017-Serie-A"">Match Report",62%,38%,87%,80%,35%,70%,57%,71%,11,9,44,729,11,15,15,25,1,2,25,51,12,4,10,551,15,11,10,56,2,11,24,57
287,Palmeiras,2–0,Ponte Preta,"19,976",Leandro Bizzio Marinho,2,0,"https://fbref.com/en/matches/9879385b/Palmeiras-Ponte-Preta-October-19-2017-Serie-A"">Match Report",64%,36%,80%,72%,50%,0%,%,71%,14,10,22,692,9,18,23,20,1,13,23,73,18,4,17,478,17,9,15,36,5,9,26,61
288,Sport Recife,1–1,Santos,"14,802",Dewson Fernando Freitas da Silva,1,1,"https://fbref.com/en/matches/8407b34a/Sport-Recife-Santos-October-19-2017-Serie-A"">Match Report",53%,48%,82%,82%,28%,38%,66%,87%,17,11,55,594,12,7,11,4,3,6,21,39,23,1,8,586,17,7,13,50,2,14,10,56
289,Flamengo,4–1,Bahia,"8,282",Marcelo Aparecido Ribeiro De Souza,4,1,"https://fbref.com/en/matches/f9166cd0/Flamengo-Bahia-October-19-2017-Serie-A"">Match Report",62%,38%,86%,80%,50%,23%,66%,50%,23,7,20,697,27,11,12,29,2,7,25,43,11,2,15,526,15,17,13,22,0,2,26,56
290,Vasco da Gama,1–1,Coritiba,"30,351",Raphael Claus,1,1,"https://fbref.com/en/matches/3921fb1a/Vasco-da-Gama-Coritiba-October-21-2017-Serie-A"">Match Report",48%,53%,82%,83%,33%,29%,50%,100%,10,8,28,559,22,16,11,27,1,12,21,43,15,2,21,612,11,13,21,33,0,8,30,53
291,Bahia,2–1,Vitória,"31,185",Marcelo de Lima Henrique,2,1,"https://fbref.com/en/matches/fb000773/Bahia-Vitoria-October-22-2017-Serie-A"">Match Report",54%,47%,81%,78%,75%,22%,50%,66%,12,5,20,623,20,16,20,27,1,9,21,56,17,2,11,566,27,21,18,16,0,4,27,65
292,São Paulo,2–0,Flamengo,"32,915",Rafael Traci,2,0,"https://fbref.com/en/matches/bbbc56bb/Sao-Paulo-Flamengo-October-22-2017-Serie-A"">Match Report",40%,60%,81%,86%,60%,30%,100%,33%,14,3,9,551,17,16,17,37,0,9,23,62,12,8,41,705,15,15,12,10,1,6,32,51
293,Atl Paranaense,2–1,Sport Recife,"10,407",Thiago Duarte Peixoto,2,1,"https://fbref.com/en/matches/98ca0749/Atletico-Paranaense-Sport-Recife-October-22-2017-Serie-A"">Match Report",57%,43%,80%,74%,44%,11%,0%,75%,15,5,20,665,11,11,25,22,1,11,25,69,13,4,20,539,14,23,30,24,1,11,23,65
294,Santos,1–0,Atl Goianiense,"4,245",Pericles Bassols Pegado Cortez,1,0,"https://fbref.com/en/matches/6739e7a2/Santos-Atletico-Goianiense-October-22-2017-Serie-A"">Match Report",56%,44%,90%,86%,44%,21%,66%,87%,15,10,35,749,18,15,19,29,4,8,17,40,14,2,21,621,14,14,12,27,3,9,19,38
295,Cruzeiro,1–3,Atlético Mineiro,"35,921",Wagner do Nascimento Magalhaes,1,3,"https://fbref.com/en/matches/37434833/Cruzeiro-Atletico-Mineiro-October-22-2017-Serie-A"">Match Report",59%,41%,88%,84%,33%,36%,40%,80%,23,6,31,644,15,9,9,14,2,6,17,40,14,3,15,528,16,12,12,25,1,11,16,49
296,Grêmio,1–3,Palmeiras,"16,238",Ricardo Marques Ribeiro,1,3,"https://fbref.com/en/matches/58025036/Gremio-Palmeiras-October-22-2017-Serie-A"">Match Report",49%,51%,82%,82%,33%,42%,40%,50%,17,2,12,648,15,17,6,18,4,9,18,67,19,4,16,661,20,14,9,18,0,9,23,47
297,Chapecoense,2–0,Fluminense,"10,010",Claudio Francisco Lima e Silva,2,0,"https://fbref.com/en/matches/61b521f8/Chapecoense-Fluminense-October-22-2017-Serie-A"">Match Report",33%,67%,74%,86%,33%,23%,100%,33%,22,4,17,455,14,13,13,25,2,9,17,48,12,3,16,789,12,13,13,16,1,8,28,67
298,Ponte Preta,1–2,Avaí,"4,009",Leandro Pedro Vuaden,1,2,"https://fbref.com/en/matches/b8c72174/Ponte-Preta-Avai-October-22-2017-Serie-A"">Match Report",69%,31%,84%,61%,10%,27%,33%,33%,19,12,61,731,11,12,26,24,0,8,22,56,19,5,13,434,13,14,25,41,2,17,15,74
299,Botafogo (RJ),2–1,Corinthians,"8,466",Rodrigo Batista Raposo,2,1,"https://fbref.com/en/matches/e2b00d3f/Botafogo-RJ-Corinthians-October-23-2017-Serie-A"">Match Report",39%,62%,81%,87%,35%,38%,66%,66%,19,6,26,563,12,19,27,23,2,11,17,54,14,2,16,0,19,10,20,36,0,8,15,45
300,São Paulo,2–1,Santos,"40,004",Anderson Daronco,2,1,"https://fbref.com/en/matches/1c026b53/Sao-Paulo-Santos-October-28-2017-Serie-A"">Match Report",46%,54%,88%,86%,31%,29%,50%,60%,12,7,24,575,13,17,16,22,0,8,9,46,31,4,20,620,17,9,11,18,2,13,21,29
