0,1,2,3,4,5,6,7,8,9,10,11
"[('14', 'Fouls', '23')]","[('3', 'Corners', '5')]","[('19', 'Crosses', '14')]","[('654', 'Touches', '464')]","[('14', 'Tackles', '21')]","[('22', 'Interceptions', '19')]","[('9', 'Aerials Won', '7')]","[('9', 'Clearances', '13')]","[('2', 'Offsides', '1')]","[('6', 'Goal Kicks', '8')]","[('22', 'Throw Ins', '35')]","[('45', 'Long Balls', '54')]"
"[('10', 'Fouls', '19')]","[('5', 'Corners', '5')]","[('40', 'Crosses', '19')]","[('725', 'Touches', '600')]","[('17', 'Tackles', '25')]","[('17', 'Interceptions', '22')]","[('17', 'Aerials Won', '15')]","[('24', 'Clearances', '40')]","[('3', 'Offsides', '1')]","[('7', 'Goal Kicks', '6')]","[('40', 'Throw Ins', '23')]","[('43', 'Long Balls', '72')]"
"[('20', 'Fouls', '11')]","[('2', 'Corners', '6')]","[('12', 'Crosses', '37')]","[('540', 'Touches', '654')]","[('21', 'Tackles', '13')]","[('13', 'Interceptions', '13')]","[('16', 'Aerials Won', '12')]","[('30', 'Clearances', '14')]","[('1', 'Offsides', '1')]","[('12', 'Goal Kicks', '4')]","[('22', 'Throw Ins', '32')]","[('51', 'Long Balls', '47')]"
"[('17', 'Fouls', '15')]","[('5', 'Corners', '8')]","[('11', 'Crosses', '44')]","[('504', 'Touches', '779')]","[('21', 'Tackles', '10')]","[('15', 'Interceptions', '20')]","[('22', 'Aerials Won', '17')]","[('36', 'Clearances', '15')]","[('2', 'Offsides', '1')]","[('13', 'Goal Kicks', '3')]","[('15', 'Throw Ins', '24')]","[('63', 'Long Balls', '34')]"
"[('21', 'Fouls', '23')]","[('5', 'Corners', '1')]","[('21', 'Crosses', '17')]","[('608', 'Touches', '594')]","[('20', 'Tackles', '17')]","[('15', 'Interceptions', '9')]","[('11', 'Aerials Won', '17')]","[('15', 'Clearances', '25')]","[('0', 'Offsides', '3')]","[('8', 'Goal Kicks', '6')]","[('34', 'Throw Ins', '26')]","[('65', 'Long Balls', '47')]"
"[('13', 'Fouls', '17')]","[('9', 'Corners', '0')]","[('28', 'Crosses', '12')]","[('708', 'Touches', '612')]","[('15', 'Tackles', '16')]","[('17', 'Interceptions', '27')]","[('7', 'Aerials Won', '9')]","[('10', 'Clearances', '27')]","[('0', 'Offsides', '1')]","[('10', 'Goal Kicks', '11')]","[('24', 'Throw Ins', '22')]","[('51', 'Long Balls', '57')]"
"[('15', 'Fouls', '26')]","[('8', 'Corners', '9')]","[('19', 'Crosses', '17')]","[('620', 'Touches', '556')]","[('25', 'Tackles', '20')]","[('9', 'Interceptions', '16')]","[('24', 'Aerials Won', '19')]","[('30', 'Clearances', '33')]","[('2', 'Offsides', '2')]","[('7', 'Goal Kicks', '10')]","[('16', 'Throw Ins', '26')]","[('56', 'Long Balls', '63')]"
"[('21', 'Fouls', '28')]","[('2', 'Corners', '4')]","[('26', 'Crosses', '11')]","[('661', 'Touches', '571')]","[('18', 'Tackles', '26')]","[('14', 'Interceptions', '14')]","[('16', 'Aerials Won', '15')]","[('12', 'Clearances', '26')]","[('3', 'Offsides', '0')]","[('10', 'Goal Kicks', '6')]","[('30', 'Throw Ins', '25')]","[('71', 'Long Balls', '72')]"
"[('11', 'Fouls', '10')]","[('17', 'Corners', '2')]","[('60', 'Crosses', '8')]","[('839', 'Touches', '455')]","[('12', 'Tackles', '18')]","[('20', 'Interceptions', '22')]","[('28', 'Aerials Won', '18')]","[('13', 'Clearances', '43')]","[('1', 'Offsides', '0')]","[('2', 'Goal Kicks', '18')]","[('32', 'Throw Ins', '19')]","[('45', 'Long Balls', '63')]"
"[('23', 'Fouls', '18')]","[('4', 'Corners', '3')]","[('16', 'Crosses', '20')]","[('550', 'Touches', '592')]","[('11', 'Tackles', '24')]","[('26', 'Interceptions', '20')]","[('19', 'Aerials Won', '11')]","[('13', 'Clearances', '18')]","[('3', 'Offsides', '1')]","[('9', 'Goal Kicks', '8')]","[('31', 'Throw Ins', '27')]","[('67', 'Long Balls', '60')]"
"[('17', 'Fouls', '16')]","[('11', 'Corners', '5')]","[('36', 'Crosses', '18')]","[('651', 'Touches', '573')]","[('20', 'Tackles', '17')]","[('12', 'Interceptions', '14')]","[('23', 'Aerials Won', '15')]","[('7', 'Clearances', '47')]","[('1', 'Offsides', '2')]","[('5', 'Goal Kicks', '14')]","[('18', 'Throw Ins', '14')]","[('60', 'Long Balls', '63')]"
"[('17', 'Fouls', '20')]","[('8', 'Corners', '5')]","[('22', 'Crosses', '19')]","[('612', 'Touches', '457')]","[('13', 'Tackles', '26')]","[('11', 'Interceptions', '12')]","[('11', 'Aerials Won', '15')]","[('16', 'Clearances', '37')]","[('2', 'Offsides', '1')]","[('10', 'Goal Kicks', '11')]","[('34', 'Throw Ins', '25')]","[('50', 'Long Balls', '61')]"
"[('23', 'Fouls', '15')]","[('6', 'Corners', '9')]","[('24', 'Crosses', '27')]","[('485', 'Touches', '630')]","[('16', 'Tackles', '11')]","[('16', 'Interceptions', '19')]","[('10', 'Aerials Won', '14')]","[('27', 'Clearances', '37')]","[('2', 'Offsides', '2')]","[('7', 'Goal Kicks', '5')]","[('27', 'Throw Ins', '22')]","[('56', 'Long Balls', '50')]"
"[('9', 'Fouls', '17')]","[('11', 'Corners', '5')]","[('34', 'Crosses', '10')]","[('881', 'Touches', '450')]","[('22', 'Tackles', '20')]","[('9', 'Interceptions', '26')]","[('19', 'Aerials Won', '14')]","[('10', 'Clearances', '25')]","[('2', 'Offsides', '1')]","[('8', 'Goal Kicks', '12')]","[('19', 'Throw Ins', '17')]","[('51', 'Long Balls', '48')]"
