,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
651,Corinthians,0–3,Flamengo,"41,693",Paulo Roberto Alves Júnior,0,3,"https://fbref.com/en/matches/4c054f1f/Corinthians-Flamengo-October-5-2018-Serie-A"">Match Report",53%,47%,85%,83%,27%,54%,57%,100%
652,Vitória,0–1,Santos,"7,478",Daniel Nobre Bins,0,1,"https://fbref.com/en/matches/96d0e3e3/Vitoria-Santos-October-5-2018-Serie-A"">Match Report",58%,42%,84%,80%,11%,25%,66%,100%
653,Atl Paranaense,4–0,América (MG),"11,443",Raphael Claus,4,0,"https://fbref.com/en/matches/279d3649/Atletico-Paranaense-America-MG-October-6-2018-Serie-A"">Match Report",63%,37%,91%,86%,40%,50%,100%,0%
654,Chapecoense,1–0,Atlético Mineiro,"10,074",Luiz Flávio de Oliveira,1,0,"https://fbref.com/en/matches/881db3e7/Chapecoense-Atletico-Mineiro-October-6-2018-Serie-A"">Match Report",37%,63%,76%,87%,11%,12%,100%,0%
655,São Paulo,0–2,Palmeiras,"56,694",Wilton Sampaio,0,2,"https://fbref.com/en/matches/0c5e39d2/Sao-Paulo-Palmeiras-October-6-2018-Serie-A"">Match Report",60%,40%,82%,67%,14%,50%,50%,100%
656,Grêmio,2–2,Bahia,"29,612",Rodolpho Toski Marques,2,2,"https://fbref.com/en/matches/e4c20345/Gremio-Bahia-October-6-2018-Serie-A"">Match Report",75%,25%,86%,66%,30%,50%,60%,66%
657,Fluminense,4–0,Paraná,"6,715",Marcelo Aparecido Ribeiro De Souza,4,0,"https://fbref.com/en/matches/d44b62a8/Fluminense-Parana-October-8-2018-Serie-A"">Match Report",70%,30%,92%,77%,53%,0%,%,44%
658,Botafogo (RJ),1–1,Vasco da Gama,"10,059",Ricardo Marques Ribeiro,1,1,"https://fbref.com/en/matches/5aa2dc2c/Botafogo-RJ-Vasco-da-Gama-October-9-2018-Serie-A"">Match Report",51%,49%,83%,83%,28%,40%,100%,80%
659,Flamengo,3–0,Fluminense,"52,924",Wilton Sampaio,3,0,"https://fbref.com/en/matches/d357f155/Flamengo-Fluminense-October-13-2018-Serie-A"">Match Report",51%,49%,82%,82%,38%,38%,100%,33%
660,Santos,1–0,Corinthians,"26,428",Péricles Bassols Pegado Cortez,1,0,"https://fbref.com/en/matches/77d6f9d2/Santos-Corinthians-October-13-2018-Serie-A"">Match Report",44%,56%,77%,82%,33%,25%,100%,75%
661,Bahia,2–0,Paraná,"29,215",Jean Pierre Goncalves Lima,2,0,"https://fbref.com/en/matches/19ff2095/Bahia-Parana-October-13-2018-Serie-A"">Match Report",68%,32%,87%,68%,37%,43%,100%,71%
662,Chapecoense,0–1,Vitória,"6,280",Leandro Pedro Vuaden,0,1,"https://fbref.com/en/matches/f20ebb00/Chapecoense-Vitoria-October-14-2018-Serie-A"">Match Report",57%,43%,78%,72%,7%,18%,66%,100%
663,Internacional,3–1,São Paulo,"41,640",Braulio da Silva Machado,3,1,"https://fbref.com/en/matches/b40f564d/Internacional-Sao-Paulo-October-14-2018-Serie-A"">Match Report",57%,43%,83%,73%,35%,11%,0%,50%
664,Palmeiras,2–0,Grêmio,"35,812",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/ee049e37/Palmeiras-Gremio-October-14-2018-Serie-A"">Match Report",34%,66%,75%,88%,75%,0%,%,50%
665,Vasco da Gama,2–0,Cruzeiro,"11,376",Marcelo Aparecido Ribeiro De Souza,2,0,"https://fbref.com/en/matches/9498dced/Vasco-da-Gama-Cruzeiro-October-14-2018-Serie-A"">Match Report",55%,45%,87%,82%,33%,23%,100%,50%
666,Atlético Mineiro,0–0,América (MG),"20,526",Flavio Rodrigues De Souza,0,0,"https://fbref.com/en/matches/d5340adb/Atletico-Mineiro-America-MG-October-14-2018-Serie-A"">Match Report",59%,41%,87%,84%,20%,53%,100%,100%
667,Atl Paranaense,4–0,Sport Recife,"9,139",Wagner Reway,4,0,"https://fbref.com/en/matches/0f328c6b/Atletico-Paranaense-Sport-Recife-October-14-2018-Serie-A"">Match Report",69%,31%,91%,77%,32%,29%,100%,44%
668,Ceará,0–0,Botafogo (RJ),"29,946",Raphael Claus,0,0,"https://fbref.com/en/matches/9d5c02cc/Ceara-Botafogo-RJ-October-15-2018-Serie-A"">Match Report",56%,44%,85%,78%,33%,0%,%,100%
669,América (MG),1–1,Grêmio,"5,821",Luiz Flávio de Oliveira,1,1,"https://fbref.com/en/matches/e867e307/America-MG-Gremio-October-20-2018-Serie-A"">Match Report",52%,48%,82%,85%,30%,31%,75%,66%
670,Botafogo (RJ),0–1,Bahia,"8,180",Anderson Daronco,0,1,"https://fbref.com/en/matches/b414f586/Botafogo-RJ-Bahia-October-20-2018-Serie-A"">Match Report",65%,35%,84%,69%,44%,22%,50%,100%
671,São Paulo,0–0,Atl Paranaense,"13,053",Péricles Bassols Pegado Cortez,0,0,"https://fbref.com/en/matches/0aebac6d/Sao-Paulo-Atletico-Paranaense-October-20-2018-Serie-A"">Match Report",32%,68%,73%,84%,42%,10%,100%,80%
672,Sport Recife,2–1,Vasco da Gama,"13,860",Wilton Sampaio,2,1,"https://fbref.com/en/matches/61bf01fc/Sport-Recife-Vasco-da-Gama-October-20-2018-Serie-A"">Match Report",49%,52%,82%,82%,44%,25%,66%,57%
673,Vitória,2–2,Corinthians,"17,982",Rafael Traci,2,2,"https://fbref.com/en/matches/c47b7bd5/Vitoria-Corinthians-October-21-2018-Serie-A"">Match Report",44%,56%,81%,81%,50%,44%,25%,66%
674,Fluminense,1–0,Atlético Mineiro,"4,762",Jean Pierre Goncalves Lima,1,0,"https://fbref.com/en/matches/c4301572/Fluminense-Atletico-Mineiro-October-21-2018-Serie-A"">Match Report",54%,46%,82%,78%,46%,17%,100%,83%
675,Palmeiras,2–1,Ceará,"36,323",André Luiz de Freitas Castro,2,1,"https://fbref.com/en/matches/130d45e2/Palmeiras-Ceara-October-21-2018-Serie-A"">Match Report",39%,61%,76%,87%,38%,33%,71%,66%
676,Cruzeiro,3–0,Chapecoense,"12,666",Raphael Claus,3,0,"https://fbref.com/en/matches/5eb7893c/Cruzeiro-Chapecoense-October-21-2018-Serie-A"">Match Report",54%,46%,83%,82%,42%,13%,100%,40%
677,Paraná,0–4,Flamengo,"4,271",Braulio da Silva Machado,0,4,"https://fbref.com/en/matches/d4575b05/Parana-Flamengo-October-21-2018-Serie-A"">Match Report",32%,68%,75%,89%,29%,55%,33%,100%
678,Internacional,2–2,Santos,"38,492",Ricardo Marques Ribeiro,2,2,"https://fbref.com/en/matches/1dae3d33/Internacional-Santos-October-22-2018-Serie-A"">Match Report",49%,51%,82%,78%,64%,38%,66%,66%
679,Cruzeiro,0–2,Ceará,"30,814",Flavio Rodrigues De Souza,0,2,"https://fbref.com/en/matches/75f02c59/Cruzeiro-Ceara-October-24-2018-Serie-A"">Match Report",62%,38%,87%,79%,33%,43%,33%,100%
680,Vitória,0–1,São Paulo,"11,283",Leandro Pedro Vuaden,0,1,"https://fbref.com/en/matches/2266dea2/Vitoria-Sao-Paulo-October-26-2018-Serie-A"">Match Report",61%,39%,88%,77%,20%,43%,83%,100%
681,Vasco da Gama,1–1,Internacional,"8,648",Igor Junior Benevenuto,1,1,"https://fbref.com/en/matches/69052910/Vasco-da-Gama-Internacional-October-26-2018-Serie-A"">Match Report",49%,51%,82%,81%,44%,33%,66%,85%
682,Santos,3–0,Fluminense,"8,680",Heber Roberto Lopes,3,0,"https://fbref.com/en/matches/d360d038/Santos-Fluminense-October-27-2018-Serie-A"">Match Report",70%,30%,86%,65%,42%,13%,100%,60%
