,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves
683,Grêmio,3–4,Sport Recife,"12,165",Dewson Fernando Freitas da Silva,3,4,"https://fbref.com/en/matches/e8794da7/Gremio-Sport-Recife-October-27-2018-Serie-A"">Match Report",68%,32%,86%,71%,24%,50%,0%,25%
684,Flamengo,1–1,Palmeiras,"65,102",Rafael Traci,1,1,"https://fbref.com/en/matches/d6fa2874/Flamengo-Palmeiras-October-27-2018-Serie-A"">Match Report",71%,30%,83%,62%,18%,38%,66%,75%
685,Corinthians,2–1,Bahia,"35,382",Anderson Daronco,2,1,"https://fbref.com/en/matches/b8bc1693/Corinthians-Bahia-October-27-2018-Serie-A"">Match Report",55%,45%,80%,77%,21%,18%,50%,33%
686,Chapecoense,1–0,América (MG),"13,238",Wilton Sampaio,1,0,"https://fbref.com/en/matches/4a229170/Chapecoense-America-MG-October-27-2018-Serie-A"">Match Report",40%,60%,76%,82%,44%,25%,100%,75%
687,Atl Paranaense,2–1,Botafogo (RJ),"7,133",Marcelo Aparecido Ribeiro De Souza,2,1,"https://fbref.com/en/matches/39e29f2f/Atletico-Paranaense-Botafogo-RJ-October-27-2018-Serie-A"">Match Report",70%,30%,88%,74%,44%,44%,75%,71%
688,Cruzeiro,3–1,Paraná,"18,755",Marcelo de Lima Henrique,3,1,"https://fbref.com/en/matches/2bb97fe1/Cruzeiro-Parana-October-27-2018-Serie-A"">Match Report",61%,39%,89%,86%,38%,0%,%,40%
689,Ceará,2–1,Atlético Mineiro,"37,394",Wagner Reway,2,1,"https://fbref.com/en/matches/4c36fc5f/Ceara-Atletico-Mineiro-October-29-2018-Serie-A"">Match Report",38%,63%,76%,88%,45%,21%,66%,60%
690,Fluminense,0–1,Vasco da Gama,"14,275",Luiz Flávio de Oliveira,0,1,"https://fbref.com/en/matches/7dcf8417/Fluminense-Vasco-da-Gama-November-3-2018-Serie-A"">Match Report",66%,34%,85%,72%,23%,40%,75%,100%
691,Atlético Mineiro,0–1,Grêmio,"16,758",Wagner do Nascimento Magalhaes,0,1,"https://fbref.com/en/matches/3c4e9e97/Atletico-Mineiro-Gremio-November-3-2018-Serie-A"">Match Report",56%,44%,84%,78%,12%,54%,85%,50%
692,Palmeiras,3–2,Santos,"38,938",Braulio da Silva Machado,3,2,"https://fbref.com/en/matches/18a6232c/Palmeiras-Santos-November-3-2018-Serie-A"">Match Report",40%,61%,77%,86%,45%,83%,60%,40%
693,Paraná,1–1,Vitória,931,Raphael Claus,1,1,"https://fbref.com/en/matches/6ee30476/Parana-Vitoria-November-4-2018-Serie-A"">Match Report",45%,55%,72%,76%,20%,36%,60%,0%
694,América (MG),1–2,Cruzeiro,"9,423",Heber Roberto Lopes,1,2,"https://fbref.com/en/matches/4b0e238f/America-MG-Cruzeiro-November-4-2018-Serie-A"">Match Report",54%,46%,83%,82%,31%,30%,33%,80%
695,São Paulo,2–2,Flamengo,"32,612",Wilton Sampaio,2,2,"https://fbref.com/en/matches/bcfe5803/Sao-Paulo-Flamengo-November-4-2018-Serie-A"">Match Report",38%,62%,71%,80%,43%,40%,75%,33%
696,Botafogo (RJ),1–0,Corinthians,"21,463",Leandro Pedro Vuaden,1,0,"https://fbref.com/en/matches/fcd23da2/Botafogo-RJ-Corinthians-November-4-2018-Serie-A"">Match Report",40%,61%,75%,80%,28%,56%,100%,100%
697,Bahia,1–0,Chapecoense,"17,448",Flavio Rodrigues De Souza,1,0,"https://fbref.com/en/matches/e6698833/Bahia-Chapecoense-November-4-2018-Serie-A"">Match Report",60%,40%,80%,71%,40%,25%,100%,83%
698,Internacional,2–1,Atl Paranaense,"23,318",Rodrigo D'Alonso Ferreira,2,1,"https://fbref.com/en/matches/817c33ed/Internacional-Atletico-Paranaense-November-4-2018-Serie-A"">Match Report",63%,37%,84%,79%,42%,44%,75%,60%
699,Sport Recife,1–0,Ceará,"25,002",Anderson Daronco,1,0,"https://fbref.com/en/matches/cd8ab882/Sport-Recife-Ceara-November-5-2018-Serie-A"">Match Report",51%,49%,76%,78%,50%,15%,100%,60%
700,América (MG),0–1,Paraná,"5,074",Wagner Reway,0,1,"https://fbref.com/en/matches/c36755b7/America-MG-Parana-November-10-2018-Serie-A"">Match Report",65%,35%,83%,66%,6%,25%,50%,100%
701,Corinthians,1–1,São Paulo,"42,845",Rodolpho Toski Marques,1,1,"https://fbref.com/en/matches/7bbfda02/Classico-Majestoso-Corinthians-Sao-Paulo-November-10-2018-Serie-A"">Match Report",47%,53%,76%,81%,33%,20%,50%,80%
702,Botafogo (RJ),2–1,Flamengo,"19,267",Braulio da Silva Machado,2,1,"https://fbref.com/en/matches/f9b7e0c7/Botafogo-RJ-Flamengo-November-10-2018-Serie-A"">Match Report",34%,66%,68%,81%,31%,31%,75%,50%
