match_report_link,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
"https://fbref.com/en/matches/60c342ba/Fluminense-Ponte-Preta-November-20-2017-Serie-A"">Match Report","[('16', 'Fouls', '15')]","[('9', 'Corners', '0')]","[('32', 'Crosses', '11')]","[('711', 'Touches', '416')]","[('9', 'Tackles', '12')]","[('8', 'Interceptions', '11')]","[('16', 'Aerials Won', '23')]","[('22', 'Clearances', '39')]","[('5', 'Offsides', '0')]","[('7', 'Goal Kicks', '6')]","[('18', 'Throw Ins', '21')]","[('63', 'Long Balls', '57')]","[('16', 'Fouls', '15')]","[('9', 'Corners', '0')]","[('32', 'Crosses', '11')]","[('711', 'Touches', '416')]","[('9', 'Tackles', '12')]","[('8', 'Interceptions', '11')]","[('16', 'Aerials Won', '23')]","[('22', 'Clearances', '39')]","[('5', 'Offsides', '0')]","[('7', 'Goal Kicks', '6')]","[('18', 'Throw Ins', '21')]","[('63', 'Long Balls', '57')]"
"https://fbref.com/en/matches/90654c7f/Coritiba-Sao-Paulo-November-26-2017-Serie-A"">Match Report","[('16', 'Fouls', '12')]","[('4', 'Corners', '8')]","[('26', 'Crosses', '15')]","[('447', 'Touches', '677')]","[('19', 'Tackles', '11')]","[('19', 'Interceptions', '13')]","[('9', 'Aerials Won', '18')]","[('17', 'Clearances', '29')]","[('0', 'Offsides', '1')]","[('6', 'Goal Kicks', '7')]","[('14', 'Throw Ins', '31')]","[('54', 'Long Balls', '47')]","[('16', 'Fouls', '12')]","[('4', 'Corners', '8')]","[('26', 'Crosses', '15')]","[('447', 'Touches', '677')]","[('19', 'Tackles', '11')]","[('19', 'Interceptions', '13')]","[('9', 'Aerials Won', '18')]","[('17', 'Clearances', '29')]","[('0', 'Offsides', '1')]","[('6', 'Goal Kicks', '7')]","[('14', 'Throw Ins', '31')]","[('54', 'Long Balls', '47')]"
"https://fbref.com/en/matches/e654749f/Corinthians-Atletico-Mineiro-November-26-2017-Serie-A"">Match Report","[('15', 'Fouls', '10')]","[('7', 'Corners', '7')]","[('25', 'Crosses', '10')]","[('681', 'Touches', '555')]","[('17', 'Tackles', '13')]","[('17', 'Interceptions', '19')]","[('10', 'Aerials Won', '6')]","[('19', 'Clearances', '21')]","[('0', 'Offsides', '4')]","[('9', 'Goal Kicks', '11')]","[('15', 'Throw Ins', '25')]","[('41', 'Long Balls', '36')]","[('15', 'Fouls', '10')]","[('7', 'Corners', '7')]","[('25', 'Crosses', '10')]","[('681', 'Touches', '555')]","[('17', 'Tackles', '13')]","[('17', 'Interceptions', '19')]","[('10', 'Aerials Won', '6')]","[('19', 'Clearances', '21')]","[('0', 'Offsides', '4')]","[('9', 'Goal Kicks', '11')]","[('15', 'Throw Ins', '25')]","[('41', 'Long Balls', '36')]"
"https://fbref.com/en/matches/dff1d2fb/Bahia-Chapecoense-November-26-2017-Serie-A"">Match Report","[('16', 'Fouls', '21')]","[('9', 'Corners', '5')]","[('36', 'Crosses', '11')]","[('643', 'Touches', '481')]","[('19', 'Tackles', '16')]","[('11', 'Interceptions', '15')]","[('17', 'Aerials Won', '11')]","[('15', 'Clearances', '34')]","[('1', 'Offsides', '1')]","[('2', 'Goal Kicks', '10')]","[('16', 'Throw Ins', '23')]","[('45', 'Long Balls', '46')]","[('16', 'Fouls', '21')]","[('9', 'Corners', '5')]","[('36', 'Crosses', '11')]","[('643', 'Touches', '481')]","[('19', 'Tackles', '16')]","[('11', 'Interceptions', '15')]","[('17', 'Aerials Won', '11')]","[('15', 'Clearances', '34')]","[('1', 'Offsides', '1')]","[('2', 'Goal Kicks', '10')]","[('16', 'Throw Ins', '23')]","[('45', 'Long Balls', '46')]"
"https://fbref.com/en/matches/180c6f08/Vitoria-Flamengo-December-3-2017-Serie-A"">Match Report","[('15', 'Fouls', '13')]","[('4', 'Corners', '2')]","[('20', 'Crosses', '19')]","[('529', 'Touches', '642')]","[('12', 'Tackles', '19')]","[('9', 'Interceptions', '7')]","[('20', 'Aerials Won', '20')]","[('12', 'Clearances', '35')]","[('1', 'Offsides', '2')]","[('8', 'Goal Kicks', '12')]","[('20', 'Throw Ins', '17')]","[('63', 'Long Balls', '52')]","[('15', 'Fouls', '13')]","[('4', 'Corners', '2')]","[('20', 'Crosses', '19')]","[('529', 'Touches', '642')]","[('12', 'Tackles', '19')]","[('9', 'Interceptions', '7')]","[('20', 'Aerials Won', '20')]","[('12', 'Clearances', '35')]","[('1', 'Offsides', '2')]","[('8', 'Goal Kicks', '12')]","[('20', 'Throw Ins', '17')]","[('63', 'Long Balls', '52')]"
"https://fbref.com/en/matches/3decaeaf/Vasco-da-Gama-Ponte-Preta-December-3-2017-Serie-A"">Match Report","[('18', 'Fouls', '16')]","[('5', 'Corners', '4')]","[('14', 'Crosses', '18')]","[('521', 'Touches', '519')]","[('13', 'Tackles', '16')]","[('18', 'Interceptions', '9')]","[('20', 'Aerials Won', '18')]","[('29', 'Clearances', '31')]","[('2', 'Offsides', '0')]","[('8', 'Goal Kicks', '5')]","[('26', 'Throw Ins', '26')]","[('59', 'Long Balls', '40')]","[('18', 'Fouls', '16')]","[('5', 'Corners', '4')]","[('14', 'Crosses', '18')]","[('521', 'Touches', '519')]","[('13', 'Tackles', '16')]","[('18', 'Interceptions', '9')]","[('20', 'Aerials Won', '18')]","[('29', 'Clearances', '31')]","[('2', 'Offsides', '0')]","[('8', 'Goal Kicks', '5')]","[('26', 'Throw Ins', '26')]","[('59', 'Long Balls', '40')]"
"https://fbref.com/en/matches/d6761bbc/Sao-Paulo-Bahia-December-3-2017-Serie-A"">Match Report","[('19', 'Fouls', '29')]","[('8', 'Corners', '0')]","[('22', 'Crosses', '9')]","[('604', 'Touches', '460')]","[('17', 'Tackles', '17')]","[('7', 'Interceptions', '14')]","[('7', 'Aerials Won', '4')]","[('6', 'Clearances', '14')]","[('1', 'Offsides', '2')]","[('5', 'Goal Kicks', '6')]","[('19', 'Throw Ins', '17')]","[('48', 'Long Balls', '60')]","[('19', 'Fouls', '29')]","[('8', 'Corners', '0')]","[('22', 'Crosses', '9')]","[('604', 'Touches', '460')]","[('17', 'Tackles', '17')]","[('7', 'Interceptions', '14')]","[('7', 'Aerials Won', '4')]","[('6', 'Clearances', '14')]","[('1', 'Offsides', '2')]","[('5', 'Goal Kicks', '6')]","[('19', 'Throw Ins', '17')]","[('48', 'Long Balls', '60')]"
"https://fbref.com/en/matches/29c43a7f/Botafogo-RJ-Cruzeiro-December-3-2017-Serie-A"">Match Report","[('13', 'Fouls', '28')]","[('4', 'Corners', '5')]","[('20', 'Crosses', '14')]","[('528', 'Touches', '583')]","[('16', 'Tackles', '8')]","[('20', 'Interceptions', '12')]","[('28', 'Aerials Won', '12')]","[('13', 'Clearances', '20')]","[('3', 'Offsides', '1')]","[('7', 'Goal Kicks', '13')]","[('12', 'Throw Ins', '18')]","[('47', 'Long Balls', '51')]","[('13', 'Fouls', '28')]","[('4', 'Corners', '5')]","[('20', 'Crosses', '14')]","[('528', 'Touches', '583')]","[('16', 'Tackles', '8')]","[('20', 'Interceptions', '12')]","[('28', 'Aerials Won', '12')]","[('13', 'Clearances', '20')]","[('3', 'Offsides', '1')]","[('7', 'Goal Kicks', '13')]","[('12', 'Throw Ins', '18')]","[('47', 'Long Balls', '51')]"
"https://fbref.com/en/matches/52879269/Santos-Ceara-April-14-2018-Serie-A"">Match Report","[('7', 'Fouls', '5')]","[('4', 'Corners', '2')]","[('27', 'Crosses', '11')]","[('705', 'Touches', '646')]","[('18', 'Tackles', '16')]","[('22', 'Interceptions', '8')]","[('12', 'Aerials Won', '5')]","[('8', 'Clearances', '27')]","[('1', 'Offsides', '0')]","[('6', 'Goal Kicks', '16')]","[('20', 'Throw Ins', '23')]","[('31', 'Long Balls', '43')]","[('7', 'Fouls', '5')]","[('4', 'Corners', '2')]","[('27', 'Crosses', '11')]","[('705', 'Touches', '646')]","[('18', 'Tackles', '16')]","[('22', 'Interceptions', '8')]","[('12', 'Aerials Won', '5')]","[('8', 'Clearances', '27')]","[('1', 'Offsides', '0')]","[('6', 'Goal Kicks', '16')]","[('20', 'Throw Ins', '23')]","[('31', 'Long Balls', '43')]"
"https://fbref.com/en/matches/86cd2068/Internacional-Bahia-April-15-2018-Serie-A"">Match Report","[('16', 'Fouls', '18')]","[('4', 'Corners', '3')]","[('16', 'Crosses', '18')]","[('606', 'Touches', '718')]","[('24', 'Tackles', '18')]","[('22', 'Interceptions', '17')]","[('18', 'Aerials Won', '14')]","[('14', 'Clearances', '18')]","[('1', 'Offsides', '1')]","[('7', 'Goal Kicks', '9')]","[('24', 'Throw Ins', '30')]","[('65', 'Long Balls', '49')]","[('16', 'Fouls', '18')]","[('4', 'Corners', '3')]","[('16', 'Crosses', '18')]","[('606', 'Touches', '718')]","[('24', 'Tackles', '18')]","[('22', 'Interceptions', '17')]","[('18', 'Aerials Won', '14')]","[('14', 'Clearances', '18')]","[('1', 'Offsides', '1')]","[('7', 'Goal Kicks', '9')]","[('24', 'Throw Ins', '30')]","[('65', 'Long Balls', '49')]"
"https://fbref.com/en/matches/23d64031/Sao-Paulo-Parana-April-16-2018-Serie-A"">Match Report","[('20', 'Fouls', '15')]","[('7', 'Corners', '7')]","[('19', 'Crosses', '22')]","[('668', 'Touches', '647')]","[('26', 'Tackles', '11')]","[('16', 'Interceptions', '22')]","[('15', 'Aerials Won', '6')]","[('19', 'Clearances', '18')]","[('3', 'Offsides', '2')]","[('5', 'Goal Kicks', '7')]","[('19', 'Throw Ins', '22')]","[('51', 'Long Balls', '45')]","[('20', 'Fouls', '15')]","[('7', 'Corners', '7')]","[('19', 'Crosses', '22')]","[('668', 'Touches', '647')]","[('26', 'Tackles', '11')]","[('16', 'Interceptions', '22')]","[('15', 'Aerials Won', '6')]","[('19', 'Clearances', '18')]","[('3', 'Offsides', '2')]","[('5', 'Goal Kicks', '7')]","[('19', 'Throw Ins', '22')]","[('51', 'Long Balls', '45')]"
"https://fbref.com/en/matches/dbbcb092/Flamengo-America-MG-April-21-2018-Serie-A"">Match Report","[('15', 'Fouls', '17')]","[('6', 'Corners', '12')]","[('20', 'Crosses', '28')]","[('564', 'Touches', '547')]","[('15', 'Tackles', '17')]","[('14', 'Interceptions', '14')]","[('17', 'Aerials Won', '20')]","[('40', 'Clearances', '10')]","[('1', 'Offsides', '0')]","[('10', 'Goal Kicks', '8')]","[('14', 'Throw Ins', '34')]","[('49', 'Long Balls', '47')]","[('15', 'Fouls', '17')]","[('6', 'Corners', '12')]","[('20', 'Crosses', '28')]","[('564', 'Touches', '547')]","[('15', 'Tackles', '17')]","[('14', 'Interceptions', '14')]","[('17', 'Aerials Won', '20')]","[('40', 'Clearances', '10')]","[('1', 'Offsides', '0')]","[('10', 'Goal Kicks', '8')]","[('14', 'Throw Ins', '34')]","[('49', 'Long Balls', '47')]"
"https://fbref.com/en/matches/9dabd9a6/Ceara-Sao-Paulo-April-22-2018-Serie-A"">Match Report","[('12', 'Fouls', '7')]","[('7', 'Corners', '7')]","[('27', 'Crosses', '25')]","[('682', 'Touches', '671')]","[('17', 'Tackles', '23')]","[('15', 'Interceptions', '17')]","[('9', 'Aerials Won', '16')]","[('15', 'Clearances', '28')]","[('1', 'Offsides', '1')]","[('6', 'Goal Kicks', '5')]","[('24', 'Throw Ins', '10')]","[('47', 'Long Balls', '29')]","[('12', 'Fouls', '7')]","[('7', 'Corners', '7')]","[('27', 'Crosses', '25')]","[('682', 'Touches', '671')]","[('17', 'Tackles', '23')]","[('15', 'Interceptions', '17')]","[('9', 'Aerials Won', '16')]","[('15', 'Clearances', '28')]","[('1', 'Offsides', '1')]","[('6', 'Goal Kicks', '5')]","[('24', 'Throw Ins', '10')]","[('47', 'Long Balls', '29')]"
"https://fbref.com/en/matches/d5e65692/Chapecoense-Vasco-da-Gama-April-22-2018-Serie-A"">Match Report","[('13', 'Fouls', '8')]","[('3', 'Corners', '3')]","[('17', 'Crosses', '19')]","[('457', 'Touches', '710')]","[('13', 'Tackles', '12')]","[('16', 'Interceptions', '5')]","[('10', 'Aerials Won', '16')]","[('15', 'Clearances', '14')]","[('2', 'Offsides', '2')]","[('7', 'Goal Kicks', '12')]","[('17', 'Throw Ins', '18')]","[('56', 'Long Balls', '70')]","[('13', 'Fouls', '8')]","[('3', 'Corners', '3')]","[('17', 'Crosses', '19')]","[('457', 'Touches', '710')]","[('13', 'Tackles', '12')]","[('16', 'Interceptions', '5')]","[('10', 'Aerials Won', '16')]","[('15', 'Clearances', '14')]","[('2', 'Offsides', '2')]","[('7', 'Goal Kicks', '12')]","[('17', 'Throw Ins', '18')]","[('56', 'Long Balls', '70')]"
"https://fbref.com/en/matches/1f161f05/Botafogo-RJ-Gremio-April-28-2018-Serie-A"">Match Report","[('14', 'Fouls', '12')]","[('10', 'Corners', '4')]","[('28', 'Crosses', '8')]","[('650', 'Touches', '576')]","[('12', 'Tackles', '18')]","[('14', 'Interceptions', '5')]","[('10', 'Aerials Won', '12')]","[('10', 'Clearances', '39')]","[('0', 'Offsides', '2')]","[('7', 'Goal Kicks', '8')]","[('17', 'Throw Ins', '19')]","[('53', 'Long Balls', '43')]","[('14', 'Fouls', '12')]","[('10', 'Corners', '4')]","[('28', 'Crosses', '8')]","[('650', 'Touches', '576')]","[('12', 'Tackles', '18')]","[('14', 'Interceptions', '5')]","[('10', 'Aerials Won', '12')]","[('10', 'Clearances', '39')]","[('0', 'Offsides', '2')]","[('7', 'Goal Kicks', '8')]","[('17', 'Throw Ins', '19')]","[('53', 'Long Balls', '43')]"
"https://fbref.com/en/matches/d4b4bb31/Atletico-Mineiro-Corinthians-April-29-2018-Serie-A"">Match Report","[('25', 'Fouls', '15')]","[('10', 'Corners', '0')]","[('31', 'Crosses', '14')]","[('759', 'Touches', '615')]","[('23', 'Tackles', '23')]","[('9', 'Interceptions', '17')]","[('15', 'Aerials Won', '10')]","[('17', 'Clearances', '23')]","[('2', 'Offsides', '0')]","[('4', 'Goal Kicks', '10')]","[('27', 'Throw Ins', '25')]","[('45', 'Long Balls', '59')]","[('25', 'Fouls', '15')]","[('10', 'Corners', '0')]","[('31', 'Crosses', '14')]","[('759', 'Touches', '615')]","[('23', 'Tackles', '23')]","[('9', 'Interceptions', '17')]","[('15', 'Aerials Won', '10')]","[('17', 'Clearances', '23')]","[('2', 'Offsides', '0')]","[('4', 'Goal Kicks', '10')]","[('27', 'Throw Ins', '25')]","[('45', 'Long Balls', '59')]"
"https://fbref.com/en/matches/c96bf9ba/Ceara-Flamengo-April-29-2018-Serie-A"">Match Report","[('18', 'Fouls', '12')]","[('2', 'Corners', '5')]","[('19', 'Crosses', '20')]","[('593', 'Touches', '618')]","[('14', 'Tackles', '22')]","[('12', 'Interceptions', '10')]","[('10', 'Aerials Won', '13')]","[('23', 'Clearances', '16')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '8')]","[('18', 'Throw Ins', '17')]","[('40', 'Long Balls', '42')]","[('18', 'Fouls', '12')]","[('2', 'Corners', '5')]","[('19', 'Crosses', '20')]","[('593', 'Touches', '618')]","[('14', 'Tackles', '22')]","[('12', 'Interceptions', '10')]","[('10', 'Aerials Won', '13')]","[('23', 'Clearances', '16')]","[('1', 'Offsides', '3')]","[('10', 'Goal Kicks', '8')]","[('18', 'Throw Ins', '17')]","[('40', 'Long Balls', '42')]"
"https://fbref.com/en/matches/5330be03/Vasco-da-Gama-America-MG-May-5-2018-Serie-A"">Match Report","[('14', 'Fouls', '24')]","[('3', 'Corners', '3')]","[('24', 'Crosses', '8')]","[('743', 'Touches', '437')]","[('9', 'Tackles', '12')]","[('18', 'Interceptions', '16')]","[('12', 'Aerials Won', '10')]","[('10', 'Clearances', '18')]","[('5', 'Offsides', '0')]","[('2', 'Goal Kicks', '6')]","[('27', 'Throw Ins', '23')]","[('78', 'Long Balls', '53')]","[('14', 'Fouls', '24')]","[('3', 'Corners', '3')]","[('24', 'Crosses', '8')]","[('743', 'Touches', '437')]","[('9', 'Tackles', '12')]","[('18', 'Interceptions', '16')]","[('12', 'Aerials Won', '10')]","[('10', 'Clearances', '18')]","[('5', 'Offsides', '0')]","[('2', 'Goal Kicks', '6')]","[('27', 'Throw Ins', '23')]","[('78', 'Long Balls', '53')]"
"https://fbref.com/en/matches/bf92df7c/Flamengo-Internacional-May-6-2018-Serie-A"">Match Report","[('12', 'Fouls', '15')]","[('6', 'Corners', '6')]","[('24', 'Crosses', '13')]","[('664', 'Touches', '548')]","[('22', 'Tackles', '22')]","[('9', 'Interceptions', '19')]","[('12', 'Aerials Won', '14')]","[('9', 'Clearances', '26')]","[('1', 'Offsides', '0')]","[('5', 'Goal Kicks', '7')]","[('22', 'Throw Ins', '17')]","[('47', 'Long Balls', '44')]","[('12', 'Fouls', '15')]","[('6', 'Corners', '6')]","[('24', 'Crosses', '13')]","[('664', 'Touches', '548')]","[('22', 'Tackles', '22')]","[('9', 'Interceptions', '19')]","[('12', 'Aerials Won', '14')]","[('9', 'Clearances', '26')]","[('1', 'Offsides', '0')]","[('5', 'Goal Kicks', '7')]","[('22', 'Throw Ins', '17')]","[('47', 'Long Balls', '44')]"
